"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2019","15.322","15.260","15.385","15.250","0.74K","0.90%"
"Jun 06, 2019","15.186","15.220","15.220","15.220","0.73K","0.74%"
"Jun 05, 2019","15.074","15.135","15.250","15.115","0.11K","0.10%"
"Jun 04, 2019","15.059","15.065","15.120","15.005","1.08K","0.19%"
"Jun 03, 2019","15.031","14.865","15.075","14.865","0.93K","2.94%"
"Jun 02, 2019","14.602","14.555","14.602","14.555","-","-1.78%"
"May 31, 2019","14.866","14.785","14.920","14.785","0.40K","0.52%"
"May 30, 2019","14.789","14.670","14.800","14.670","0.21K","0.58%"
"May 29, 2019","14.704","14.630","14.630","14.630","0.48K","0.55%"
"May 28, 2019","14.623","14.900","14.900","14.575","0.38K","0.35%"
"May 27, 2019","14.572","14.553","14.607","14.537","-","0.10%"
"May 26, 2019","14.557","14.545","14.562","14.545","-","-2.03%"
"May 24, 2019","14.859","14.860","14.860","14.855","0.18K","-0.36%"
"May 23, 2019","14.913","14.850","14.930","14.825","0.14K","1.11%"
"May 22, 2019","14.749","14.750","14.750","14.745","0.51K","0.26%"
"May 21, 2019","14.711","14.725","14.725","14.700","0.43K","-0.24%"
"May 20, 2019","14.747","14.670","14.720","14.670","0.47K","2.21%"
"May 19, 2019","14.428","14.390","14.428","14.390","-","-1.76%"
"May 17, 2019","14.686","14.805","14.815","14.680","0.47K","-1.01%"
"May 16, 2019","14.836","15.115","15.115","14.835","0.44K","-1.80%"
"May 15, 2019","15.108","15.080","15.115","15.065","0.52K","-0.04%"
"May 14, 2019","15.114","15.095","15.130","15.095","1.24K","0.21%"
"May 13, 2019","15.083","14.980","15.115","14.955","0.68K","2.20%"
"May 12, 2019","14.758","14.780","14.793","14.758","-","-2.26%"
"May 10, 2019","15.100","15.105","15.115","15.065","0.34K","0.11%"
"May 09, 2019","15.084","15.165","15.165","15.030","0.46K","-0.60%"
"May 08, 2019","15.175","15.265","15.275","15.165","1.01K","-0.50%"
"May 07, 2019","15.251","15.200","15.255","15.145","0.69K","-0.06%"
"May 06, 2019","15.260","15.045","15.070","14.860","0.19K","2.11%"
"May 05, 2019","14.945","14.953","14.988","14.932","-","-2.43%"
"May 03, 2019","15.317","14.965","15.295","14.965","0.28K","2.41%"
"May 02, 2019","14.956","15.045","15.045","14.945","0.27K","-0.76%"
"May 01, 2019","15.071","15.310","15.310","15.010","0.66K","-1.66%"
"Apr 30, 2019","15.326","15.345","15.360","15.195","0.25K","0.37%"
"Apr 29, 2019","15.270","15.345","15.355","15.245","0.17K","1.72%"
"Apr 28, 2019","15.012","15.035","15.035","15.012","-","-2.71%"
"Apr 26, 2019","15.430","15.380","15.450","15.380","0.12K","0.86%"
"Apr 25, 2019","15.299","15.280","15.280","15.240","0.30K","-0.28%"
"Apr 24, 2019","15.342","15.245","15.285","15.245","0.03K","0.81%"
"Apr 23, 2019","15.219","15.200","15.215","15.200","0.05K","-1.22%"
"Apr 22, 2019","15.407","15.440","15.440","15.425","0.14K","2.84%"
"Apr 21, 2019","14.982","14.955","14.988","14.955","-","0.11%"
"Apr 19, 2019","14.965","14.965","14.965","14.965","-","-2.76%"
"Apr 18, 2019","15.390","15.390","15.390","15.390","0.07K","0.13%"
"Apr 17, 2019","15.370","15.385","15.385","15.360","0.02K","0.07%"
"Apr 16, 2019","15.359","15.340","15.340","15.340","0.02K","-0.42%"
"Apr 15, 2019","15.424","15.330","15.330","15.330","0.02K","3.39%"
"Apr 14, 2019","14.918","14.928","14.950","14.912","-","-3.21%"
"Apr 12, 2019","15.412","15.385","15.420","15.385","0.02K","0.63%"
"Apr 11, 2019","15.315","15.570","15.570","15.300","0.17K","-2.45%"
"Apr 10, 2019","15.700","15.655","15.700","15.630","0.33K","0.22%"
